Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time	Cases_Last_Week_7Day_Percent	Days_Past
2020-01-02	1	0	1	0	0	0	0	0	0	0.0	0	0.0					-1100
2020-01-03	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-1099
2020-01-04	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-1098
2020-01-05	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-1097
2020-01-06	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-1096
2020-01-07	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-1095
2020-01-08	1	0	0	0	0	0	0	0	0	0.0	0	0.0					-1094
2020-01-09	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1093
2020-01-10	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1092
2020-01-11	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1091
2020-01-12	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1090
2020-01-13	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1089
2020-01-14	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1088
2020-01-15	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1087
2020-01-16	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1086
2020-01-17	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1085
2020-01-18	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1084
2020-01-19	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1083
2020-01-20	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1082
2020-01-21	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1081
2020-01-22	1	0	0	0	0	0	0	0	0	0.0	0	0.0				0	-1080
2020-01-23	2	0	1	0	1	0	0	0	0	0.0	0	0.0				0	-1079
2020-01-24	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-1078
2020-01-25	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-1077
2020-01-26	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-1076
2020-01-27	2	0	0	0	1	0	0	0	0	0.0	0	0.0				0	-1075
2020-01-28	4	0	2	0	3	0	0	0	0	0.0	0	0.0				0	-1074
2020-01-29	6	0	2	0	5	0	0	0	0	0.0	0	0.0				0	-1073
2020-01-30	6	0	0	0	4	0	0	0	0	0.0	0	0.0				0	-1072
2020-01-31	10	0	4	0	8	0	0	0	0	0.0	0	0.0				0	-1071
2020-02-01	11	0	1	0	9	0	0	0	0	0.0	0	0.0				0	-1070
2020-02-02	11	0	0	0	9	0	0	0	0	0.0	0	0.0				0	-1069
2020-02-03	12	0	1	0	10	0	0	0	0	0.0	0	0.0				0	-1068
2020-02-04	16	0	4	0	12	0	0	0	0	0.0	0	0.0				300.0	-1067
2020-02-05	18	0	2	0	12	0	0	0	0	0.0	0	0.0				140.0	-1066
2020-02-06	19	0	1	0	13	0	0	0	0	0.0	0	0.0				225.0	-1065
2020-02-07	20	0	1	0	10	0	0	0	0	0.0	0	0.0				25.0	-1064
2020-02-08	20	0	0	0	9	0	0	0	0	0.0	0	0.0				0.0	-1063
2020-02-09	20	0	0	0	9	0	0	0	0	0.0	0	0.0				0.0	-1062
2020-02-10	21	0	1	0	9	0	0	0	0	0.0	0	0.0				-10.0	-1061
2020-02-11	23	0	2	0	7	0	0	0	0	0.0	0	0.0				-41.7	-1060
2020-02-12	24	0	1	0	6	0	0	0	0	0.0	0	0.0				-50.0	-1059
2020-02-13	24	0	0	0	5	0	0	0	0	0.0	0	0.0				-61.5	-1058
2020-02-14	24	0	0	0	4	0	0	0	0	0.0	0	0.0				-60.0	-1057
2020-02-15	25	0	1	0	5	0	0	0	0	0.0	0	0.0				-44.4	-1056
2020-02-16	25	0	0	0	5	0	0	0	0	0.0	0	0.0				-44.4	-1055
2020-02-17	27	0	2	0	6	0	0	0	0	0.0	0	0.0				-33.3	-1054
2020-02-18	28	0	1	0	5	0	0	0	0	0.0	0	0.0				-28.6	-1053
2020-02-19	29	0	1	0	5	0	0	0	0	0.0	0	0.0				-16.7	-1052
2020-02-20	31	1	2	1	7	1	0	0	0	0.012	0	0.01				40.0	-1051
2020-02-21	31	1	0	0	7	1	0	0	0	0.0	0	0.01				75.0	-1050
2020-02-22	31	1	0	0	6	1	0	0	0	0.0	0	0.01				20.0	-1049
2020-02-23	31	1	0	0	6	1	0	0	0	0.0	0	0.01				20.0	-1048
2020-02-24	32	1	1	0	5	1	0	0	0	0.0	0	0.01				-16.7	-1047
2020-02-25	35	1	3	0	7	1	0	0	0	0.0	0	0.01				40.0	-1046
2020-02-26	43	1	8	0	14	1	0	0	0	0.0	0	0.01				180.0	-1045
2020-02-27	67	1	24	0	36	0	0	0	0	0.0	0	0.0				414.3	-1044
2020-02-28	112	1	45	0	81	0	1	0	0	0.0	0	0.0				1057.1	-1043
2020-02-29	135	1	23	0	104	0	1	0	0	0.0	1	0.0				1633.3	-1042
2020-03-01	170	1	35	0	139	0	2	0	0	0.0	1	0.0				2216.7	-1041
2020-03-02	213	1	43	0	181	0	2	0	0	0.0	2	0.0				3520.0	-1040
2020-03-03	297	1	84	0	262	0	3	0	1	0.0	3	0.0				3642.9	-1039
2020-03-04	454	3	157	2	411	2	5	0	1	0.024	4	0.02				2835.7	-1038
2020-03-05	640	4	186	1	573	3	7	0	2	0.012	6	0.04				1491.7	-1037
2020-03-06	827	8	187	4	715	7	9	0	2	0.048	8	0.08				782.7	-1036
2020-03-07	969	12	142	4	834	11	11	0	1	0.048	10	0.13				701.9	-1035
2020-03-08	1075	13	106	1	905	12	12	0	1	0.012	10	0.14				551.1	-1034
2020-03-09	1422	20	347	7	1209	19	17	0	4	0.084	14	0.23				568.0	-1033
2020-03-10	2017	24	595	4	1720	23	24	0	7	0.048	20	0.28				556.5	-1032
2020-03-11	2774	34	757	10	2320	31	33	0	9	0.12	27	0.37				464.5	-1031
2020-03-12	3765	46	991	12	3125	42	45	0	11	0.145	37	0.51				445.4	-1030
2020-03-13	5229	62	1464	16	4402	54	62	0	17	0.193	53	0.65				515.7	-1029
2020-03-14	6532	82	1303	20	5563	70	78	0	15	0.241	67	0.84				567.0	-1028
2020-03-15	7512	97	980	15	6437	84	90	1	11	0.181	77	1.01				611.3	-1027
2020-03-16	9548	132	2036	35	8126	112	115	1	24	0.422	97	1.35				572.1	-1026
2020-03-17	12581	176	3033	44	10564	152	151	2	36	0.53	127	1.83				514.2	-1025
2020-03-18	16179	239	3598	63	13405	205	194	2	43	0.759	161	2.47				477.8	-1024
2020-03-19	20237	304	4058	65	16472	258	243	3	48	0.783	198	3.11				427.1	-1023
2020-03-20	24292	400	4055	96	19063	338	292	4	48	1.156	229	4.07				333.1	-1022
2020-03-21	27648	495	3356	95	21116	413	333	5	40	1.144	254	4.97				279.6	-1021
2020-03-22	29914	575	2266	80	22402	478	360	6	27	0.964	269	5.76				248.0	-1020
2020-03-23	33646	705	3732	130	24098	573	405	8	44	1.566	290	6.9				196.6	-1019
2020-03-24	38523	872	4877	167	25942	696	464	10	58	2.012	312	8.38				145.6	-1018
2020-03-25	44204	1090	5681	218	28025	851	532	13	68	2.626	337	10.25				109.1	-1017
2020-03-26	50103	1357	5899	267	29866	1053	603	16	71	3.216	359	12.68				81.3	-1016
2020-03-27	56084	1621	5981	264	31792	1221	675	19	72	3.18	382	14.71				66.8	-1015
2020-03-28	60804	1868	4720	247	33156	1373	732	22	56	2.975	399	16.54				57.0	-1014
2020-03-29	63882	2034	3078	166	33968	1459	769	24	37	2.0	409	17.57				51.6	-1013
2020-03-30	68006	2301	4124	267	34360	1596	819	27	49	3.216	413	19.22				42.6	-1012
2020-03-31	74067	2684	6061	383	35544	1812	892	32	73	4.613	428	21.83				37.0	-1011
2020-04-01	80329	3060	6262	376	36125	1970	967	36	75	4.529	435	23.73				28.9	-1010
2020-04-02	86876	3480	6547	420	36773	2123	1046	41	78	5.059	442	25.57				23.1	-1009
2020-04-03	93063	3878	6187	398	36979	2257	1120	46	74	4.794	445	27.19				16.3	-1008
2020-04-04	97404	4124	4341	246	36600	2256	1173	49	52	2.963	440	27.17				10.4	-1007
2020-04-05	99940	4306	2536	182	36058	2272	1203	51	30	2.192	434	27.37				6.2	-1006
2020-04-06	103603	4597	3663	291	35597	2296	1247	55	44	3.505	428	27.66				3.6	-1005
2020-04-07	108791	4935	5188	338	34724	2251	1310	59	62	4.071	418	27.11				-2.3	-1004
2020-04-08	114070	5278	5279	343	33741	2218	1374	63	63	4.132	406	26.72				-6.6	-1003
2020-04-09	118983	5603	4913	325	32107	2123	1433	67	59	3.915	386	25.57				-12.7	-1002
2020-04-10	122334	5811	3351	208	29271	1933	1473	69	40	2.505	352	23.28				-20.8	-1001
2020-04-11	125213	6012	2879	201	27809	1888	1508	72	34	2.421	334	22.74				-24.0	-1000
2020-04-12	127081	6182	1868	170	27141	1876	1530	74	22	2.048	326	22.6				-24.7	-999
2020-04-13	128681	6347	1600	165	25078	1750	1550	76	19	1.987	302	21.08				-29.6	-998
2020-04-14	131149	6566	2468	219	22358	1631	1579	79	29	2.638	269	19.65				-35.6	-997
2020-04-15	134473	6799	3324	233	20403	1521	1619	81	40	2.807	245	18.32				-39.5	-996
2020-04-16	137893	6991	3420	192	18910	1388	1660	84	41	2.313	227	16.72				-41.1	-995
2020-04-17	140941	7165	3048	174	18607	1354	1697	86	36	2.096	224	16.31				-36.4	-994
2020-04-18	143048	7290	2107	125	17835	1278	1723	87	25	1.506	214	15.39				-35.9	-993
2020-04-19	144425	7409	1377	119	17344	1227	1739	89	16	1.433	208	14.78				-36.1	-992
2020-04-20	146138	7559	1713	150	17457	1212	1760	91	20	1.807	210	14.6				-30.4	-991
2020-04-21	148322	7700	2184	141	17173	1134	1786	92	26	1.698	206	13.66				-23.2	-990
2020-04-22	150810	7825	2488	125	16337	1026	1816	94	29	1.506	196	12.36				-19.9	-989
2020-04-23	152904	7942	2094	117	15011	951	1841	95	25	1.409	180	11.46				-20.6	-988
2020-04-24	154806	8026	1902	84	13865	861	1864	96	22	1.012	167	10.37	8.2	60.8		-25.5	-987
2020-04-25	156078	8106	1272	80	13030	816	1880	97	15	0.964	156	9.83	7.9	60.6		-26.9	-986
2020-04-26	156777	8136	699	30	12352	727	1888	98	8	0.361	148	8.76	7.9	59.2		-28.8	-985
2020-04-27	157898	8211	1121	75	11760	652	1901	98	13	0.903	141	7.85	7.7	59.7		-32.6	-984
2020-04-28	159366	8294	1468	83	11044	594	1919	99	17	1.0	133	7.15	7.4	61.0		-35.7	-983
2020-04-29	160793	8352	1427	58	9983	527	1936	100	17	0.699	120	6.35	7.1	61.5		-38.9	-982
2020-04-30	162255	8423	1462	71	9351	481	1954	101	17	0.855	112	5.79	6.9	61.3		-37.7	-981
2020-05-01	163174	8471	919	48	8368	445	1965	102	11	0.578	100	5.36	6.5	61.2		-39.6	-980
2020-05-02	163795	8507	621	36	7717	401	1972	102	7	0.434	92	4.83	6.3	59.2		-40.8	-979
2020-05-03	164218	8523	423	16	7441	387	1978	102	5	0.193	89	4.66	6.2	59.7		-39.8	-978
2020-05-04	164947	8564	729	41	7049	353	1986	103	8	0.494	84	4.25	6.1	59.7		-40.1	-977
2020-05-05	166040	8609	1093	45	6674	315	2000	103	13	0.542	80	3.79	5.9	61.5		-39.6	-976
2020-05-06	167260	8649	1220	40	6467	297	2014	104	14	0.482	77	3.58	5.6	62.6		-35.2	-975
2020-05-07	168461	8698	1201	49	6206	275	2029	104	14	0.59	74	3.31	5.4	62.6		-33.6	-974
2020-05-08	169439	8743	978	45	6265	272	2040	105	11	0.542	75	3.28	5.1	62.8		-25.1	-973
2020-05-09	170116	8767	677	24	6321	260	2049	105	8	0.289	76	3.13	4.9	62.2		-18.1	-972
2020-05-10	170457	8781	341	14	6239	258	2053	105	4	0.169	75	3.11	5.0	60.6		-16.2	-971
2020-05-11	171144	8807	687	26	6197	243	2061	106	8	0.313	74	2.93	4.9	61.2		-12.1	-970
2020-05-12	172000	8840	856	33	5960	231	2071	106	10	0.397	71	2.78	4.5	62.7		-10.7	-969
2020-05-13	172913	8867	913	27	5653	218	2082	106	10	0.325	68	2.63	4.2	63.2		-12.6	-968
2020-05-14	173720	8887	807	20	5259	189	2092	107	9	0.241	63	2.28	4.0	62.8		-15.3	-967
2020-05-15	174448	8918	728	31	5009	175	2101	107	8	0.373	60	2.11	3.8	63.9		-20.0	-966
2020-05-16	174910	8938	462	20	4794	171	2106	107	5	0.241	57	2.06	3.6	63.0		-24.2	-965
2020-05-17	175226	8946	316	8	4769	165	2110	107	3	0.096	57	1.99	3.5	61.3		-23.6	-964
2020-05-18	175769	8969	543	23	4625	162	2117	108	6	0.277	55	1.95	3.5	61.3		-25.4	-963
2020-05-19	176499	8995	730	26	4499	155	2126	108	8	0.313	54	1.87	3.4	63.5		-24.5	-962
2020-05-20	177331	9018	832	23	4418	151	2136	108	10	0.277	53	1.82	3.1	63.9		-21.8	-961
2020-05-21	177750	9025	419	7	4030	138	2141	108	5	0.084	48	1.66	3.1	63.9		-23.4	-960
2020-05-22	178276	9041	526	16	3828	123	2147	108	6	0.193	46	1.48	3.0	62.1		-23.6	-959
2020-05-23	178613	9052	337	11	3703	114	2151	109	4	0.132	44	1.37	2.9	62.4		-22.8	-958
2020-05-24	178832	9057	219	5	3606	111	2154	109	2	0.06	43	1.34	2.8	61.2		-24.4	-957
2020-05-25	179243	9070	411	13	3474	101	2159	109	4	0.157	41	1.22	2.7	61.2		-24.9	-956
2020-05-26	179861	9085	618	15	3362	90	2166	109	7	0.181	40	1.08	2.5	63.1		-25.3	-955
2020-05-27	180514	9097	653	12	3183	79	2174	109	7	0.145	38	0.95	2.3	64.2		-28.0	-954
2020-05-28	181043	9107	529	10	3293	82	2180	109	6	0.12	39	0.99	2.2	64.5		-18.3	-953
2020-05-29	181488	9115	445	8	3212	74	2186	109	5	0.096	38	0.89	2.2	64.4		-16.1	-952
2020-05-30	181862	9119	374	4	3249	67	2190	109	4	0.048	39	0.81	2.2	64.0		-12.3	-951
2020-05-31	182040	9122	178	3	3208	65	2192	109	2	0.036	38	0.78	2.2	62.0		-11.0	-950
2020-06-01	182176	9127	136	5	2933	57	2194	109	1	0.06	35	0.69	2.2	61.7		-15.6	-949
2020-06-02	182483	9135	307	8	2622	50	2198	110	3	0.096	31	0.6	2.1	62.1		-22.0	-948
2020-06-03	182980	9145	497	10	2466	48	2204	110	5	0.12	29	0.58	2.0	64.3		-22.5	-947
2020-06-04	183508	9152	528	7	2465	45	2210	110	6	0.084	29	0.54	1.9	65.3		-25.1	-946
2020-06-05	183945	9157	437	5	2457	42	2215	110	5	0.06	29	0.51	1.8	65.6		-23.5	-945
2020-06-06	184230	9162	285	5	2368	43	2219	110	3	0.06	28	0.52	1.7	64.8		-27.1	-944
2020-06-07	184394	9166	164	4	2354	44	2221	110	1	0.048	28	0.53	1.8	62.9		-26.6	-943
2020-06-08	184690	9169	296	3	2514	42	2224	110	3	0.036	30	0.51	1.7	62.5		-14.3	-942
2020-06-09	185116	9170	426	1	2633	35	2229	110	5	0.012	31	0.42	1.6	65.0		0.4	-941
