Date	Anzahl	Dose1	Dose2	Dose3	Dose4	Dose5	Dose6	Anzahl_roll_av	Dose1_roll_av	Dose2_roll_av	Dose3_roll_av	Dose4_roll_av	Dose5_roll_av	Dose6_roll_av
2020-12-27	24427	24427	0.0	0.0	0.0	0.0	0.0	24427.0	24427.0	0.0	0.0	0.0	0.0	0.0
2020-12-28	18073	18073	0.0	0.0	0.0	0.0	0.0	21250.0	21250.0	0.0	0.0	0.0	0.0	0.0
2020-12-29	50229	50229	0.0	0.0	0.0	0.0	0.0	30909.7	30909.7	0.0	0.0	0.0	0.0	0.0
2020-12-30	64213	64213	0.0	0.0	0.0	0.0	0.0	39235.5	39235.5	0.0	0.0	0.0	0.0	0.0
2020-12-31	49985	49985	0.0	0.0	0.0	0.0	0.0	41385.4	41385.4	0.0	0.0	0.0	0.0	0.0
2021-01-01	25723	25723	0.0	0.0	0.0	0.0	0.0	38775.0	38775.0	0.0	0.0	0.0	0.0	0.0
2021-01-02	47835	47835	0.0	0.0	0.0	0.0	0.0	40069.3	40069.3	0.0	0.0	0.0	0.0	0.0
2021-01-03	22614	22614	0.0	0.0	0.0	0.0	0.0	39810.3	39810.3	0.0	0.0	0.0	0.0	0.0
2021-01-04	46362	46362	0.0	0.0	0.0	0.0	0.0	43851.6	43851.6	0.0	0.0	0.0	0.0	0.0
2021-01-05	52522	52522	0.0	0.0	0.0	0.0	0.0	44179.1	44179.1	0.0	0.0	0.0	0.0	0.0
2021-01-06	63128	63128	0.0	0.0	0.0	0.0	0.0	44024.1	44024.1	0.0	0.0	0.0	0.0	0.0
2021-01-07	54921	54921	0.0	0.0	0.0	0.0	0.0	44729.3	44729.3	0.0	0.0	0.0	0.0	0.0
2021-01-08	62906	62906	0.0	0.0	0.0	0.0	0.0	50041.1	50041.1	0.0	0.0	0.0	0.0	0.0
2021-01-09	60604	60604	0.0	0.0	0.0	0.0	0.0	51865.3	51865.3	0.0	0.0	0.0	0.0	0.0
2021-01-10	35858	35858	0.0	0.0	0.0	0.0	0.0	53757.3	53757.3	0.0	0.0	0.0	0.0	0.0
2021-01-11	68803	68803	0.0	0.0	0.0	0.0	0.0	56963.1	56963.1	0.0	0.0	0.0	0.0	0.0
2021-01-12	79365	79365	0.0	0.0	0.0	0.0	0.0	60797.9	60797.9	0.0	0.0	0.0	0.0	0.0
2021-01-13	112478	112478	0.0	0.0	0.0	0.0	0.0	67847.9	67847.9	0.0	0.0	0.0	0.0	0.0
2021-01-14	84179	84179	0.0	0.0	0.0	0.0	0.0	72027.6	72027.6	0.0	0.0	0.0	0.0	0.0
2021-01-15	91942	90965	977.0	0.0	0.0	0.0	0.0	76175.6	76036.0	139.6	0.0	0.0	0.0	0.0
2021-01-16	58125	56881	1244.0	0.0	0.0	0.0	0.0	75821.4	75504.1	317.3	0.0	0.0	0.0	0.0
2021-01-17	47854	30771	17083.0	0.0	0.0	0.0	0.0	77535.1	74777.4	2757.7	0.0	0.0	0.0	0.0
2021-01-18	83327	67562	15765.0	0.0	0.0	0.0	0.0	79610.0	74600.1	5009.9	0.0	0.0	0.0	0.0
2021-01-19	119936	83836	36100.0	0.0	0.0	0.0	0.0	85405.9	75238.9	10167.0	0.0	0.0	0.0	0.0
2021-01-20	133015	79030	53985.0	0.0	0.0	0.0	0.0	88339.7	70460.6	17879.1	0.0	0.0	0.0	0.0
2021-01-21	105670	64541	41129.0	0.0	0.0	0.0	0.0	91409.9	67655.1	23754.7	0.0	0.0	0.0	0.0
2021-01-22	102459	68811	33648.0	0.0	0.0	0.0	0.0	92912.3	64490.3	28422.0	0.0	0.0	0.0	0.0
2021-01-23	87119	40785	46334.0	0.0	0.0	0.0	0.0	97054.3	62190.9	34863.4	0.0	0.0	0.0	0.0
