Date	Anzahl	Dose1	Dose2	Dose3	Dose4	Dose5	Dose6	Anzahl_roll_av	Dose1_roll_av	Dose2_roll_av	Dose3_roll_av	Dose4_roll_av	Dose5_roll_av	Dose6_roll_av
2020-12-27	24422	24422	0.0	0.0	0.0	0.0	0.0	24422.0	24422.0	0.0	0.0	0.0	0.0	0.0
2020-12-28	18007	18007	0.0	0.0	0.0	0.0	0.0	21214.5	21214.5	0.0	0.0	0.0	0.0	0.0
2020-12-29	50055	50055	0.0	0.0	0.0	0.0	0.0	30828.0	30828.0	0.0	0.0	0.0	0.0	0.0
2020-12-30	64066	64066	0.0	0.0	0.0	0.0	0.0	39137.5	39137.5	0.0	0.0	0.0	0.0	0.0
2020-12-31	49939	49939	0.0	0.0	0.0	0.0	0.0	41297.8	41297.8	0.0	0.0	0.0	0.0	0.0
2021-01-01	25672	25672	0.0	0.0	0.0	0.0	0.0	38693.5	38693.5	0.0	0.0	0.0	0.0	0.0
2021-01-02	47804	47804	0.0	0.0	0.0	0.0	0.0	39995.0	39995.0	0.0	0.0	0.0	0.0	0.0
2021-01-03	22573	22573	0.0	0.0	0.0	0.0	0.0	39730.9	39730.9	0.0	0.0	0.0	0.0	0.0
2021-01-04	46333	46333	0.0	0.0	0.0	0.0	0.0	43777.4	43777.4	0.0	0.0	0.0	0.0	0.0
2021-01-05	52479	52479	0.0	0.0	0.0	0.0	0.0	44123.7	44123.7	0.0	0.0	0.0	0.0	0.0
2021-01-06	63088	63088	0.0	0.0	0.0	0.0	0.0	43984.0	43984.0	0.0	0.0	0.0	0.0	0.0
2021-01-07	54909	54909	0.0	0.0	0.0	0.0	0.0	44694.0	44694.0	0.0	0.0	0.0	0.0	0.0
2021-01-08	62875	62875	0.0	0.0	0.0	0.0	0.0	50008.7	50008.7	0.0	0.0	0.0	0.0	0.0
2021-01-09	60604	60604	0.0	0.0	0.0	0.0	0.0	51837.3	51837.3	0.0	0.0	0.0	0.0	0.0
2021-01-10	35848	35848	0.0	0.0	0.0	0.0	0.0	53733.7	53733.7	0.0	0.0	0.0	0.0	0.0
2021-01-11	68778	68778	0.0	0.0	0.0	0.0	0.0	56940.1	56940.1	0.0	0.0	0.0	0.0	0.0
2021-01-12	79323	79323	0.0	0.0	0.0	0.0	0.0	60775.0	60775.0	0.0	0.0	0.0	0.0	0.0
2021-01-13	112436	112436	0.0	0.0	0.0	0.0	0.0	67824.7	67824.7	0.0	0.0	0.0	0.0	0.0
2021-01-14	84125	84125	0.0	0.0	0.0	0.0	0.0	71998.4	71998.4	0.0	0.0	0.0	0.0	0.0
2021-01-15	91866	90883	983.0	0.0	0.0	0.0	0.0	76140.0	75999.6	140.4	0.0	0.0	0.0	0.0
2021-01-16	58100	56856	1244.0	0.0	0.0	0.0	0.0	75782.3	75464.1	318.1	0.0	0.0	0.0	0.0
2021-01-17	47835	30758	17077.0	0.0	0.0	0.0	0.0	77494.7	74737.0	2757.7	0.0	0.0	0.0	0.0
2021-01-18	83314	67554	15760.0	0.0	0.0	0.0	0.0	79571.3	74562.1	5009.1	0.0	0.0	0.0	0.0
2021-01-19	119876	83805	36071.0	0.0	0.0	0.0	0.0	85364.6	75202.4	10162.1	0.0	0.0	0.0	0.0
2021-01-20	132950	79003	53947.0	0.0	0.0	0.0	0.0	88295.1	70426.3	17868.9	0.0	0.0	0.0	0.0
2021-01-21	105641	64534	41107.0	0.0	0.0	0.0	0.0	91368.9	67627.6	23741.3	0.0	0.0	0.0	0.0
2021-01-22	102408	68781	33627.0	0.0	0.0	0.0	0.0	92874.9	64470.1	28404.7	0.0	0.0	0.0	0.0
2021-01-23	87091	40772	46319.0	0.0	0.0	0.0	0.0	97016.4	62172.4	34844.0	0.0	0.0	0.0	0.0
2021-01-24	47836	25706	22130.0	0.0	0.0	0.0	0.0	97016.6	61450.7	35565.9	0.0	0.0	0.0	0.0
2021-01-25	91049	52344	38705.0	0.0	0.0	0.0	0.0	98121.6	59277.9	38843.7	0.0	0.0	0.0	0.0
2021-01-26	98707	51359	47348.0	0.0	0.0	0.0	0.0	95097.4	54642.7	40454.7	0.0	0.0	0.0	0.0
2021-01-27	109640	51183	58457.0	0.0	0.0	0.0	0.0	91767.4	50668.4	41099.0	0.0	0.0	0.0	0.0
2021-01-28	92745	46999	45746.0	0.0	0.0	0.0	0.0	89925.1	48163.4	41761.7	0.0	0.0	0.0	0.0
