Date	sequences_total	BA.2	B.1.1.7	BA.1.1	AY.43	BA.2.9	AY.122	BA.5.1	BE.1.1	BA.1	BA.5.2
2021-01-25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-01-26	30.5	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-01-27	119.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-01-28	96.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-01-29	149.2	0.0	7.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-01-31	172.2	0.0	7.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-01	220.1	0.0	9.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-03	266.4	0.0	12.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-04	299.1	0.0	16.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-05	328.1	0.0	28.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-06	369.1	0.0	32.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-08	424.9	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-09	469.9	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-10	418.0	0.0	42.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-11	474.6	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-12	519.7	0.0	75.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-13	455.0	0.0	65.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-14	422.9	0.0	63.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-15	589.1	0.0	100.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-16	534.1	0.0	98.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-17	578.3	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-18	540.9	0.0	102.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-19	474.9	0.0	86.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-20	480.9	0.0	89.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-22	714.0	0.0	164.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-23	781.1	0.0	277.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-24	847.6	0.0	297.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-25	946.6	0.0	365.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-26	1054.1	0.0	414.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-27	1087.6	0.0	446.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-02-28	1190.4	0.0	480.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-01	1205.9	0.0	529.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-02	982.9	0.0	431.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-03	976.6	0.0	462.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-04	973.0	0.0	434.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-05	1067.3	0.0	504.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-06	1103.1	0.0	525.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-07	1140.1	0.0	565.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-08	1136.1	0.0	575.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-09	1068.7	0.0	542.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-10	1118.4	0.0	566.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-11	1140.7	0.0	619.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-03-12	1120.6	0.0	627.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
